semana,app_id,canal,installs,compradores_unicos,total_compras,revenue_usd,arpi,ticket_promedio
2026-05-25,com.univision.prendetv,Digital_Web_LCDLF,0,0,0,,,
2026-05-25,com.univision.prendetv,entravision,1097,6,6,,,
2026-05-25,com.univision.prendetv,xiaomipai_int,102,0,0,,,
2026-05-25,com.univision.prendetv,Social_instagram,13,0,0,,,
2026-05-25,id1531467766,Digital_Promo,0,0,0,,,
2026-05-25,com.univision.prendetv,Social_tiktok,88,0,0,,,
2026-05-25,com.univision.prendetv,product_vix,10769,132,132,,,
2026-05-25,id1531467766,,0,0,0,,,
2026-05-25,id1531467766,world_cup_sports_page,2,0,0,,,
2026-05-25,id1531467766,Social_Univision,0,0,0,,,
2026-05-25,com.univision.prendetv,thetradedesk_int,1,0,0,,,
2026-05-25,com.univision.prendetv,TikTok_Paid,4,0,0,,,
2026-05-25,com.univision.prendetv,MiQ_int,0,0,0,,,
2026-05-25,id1531467766,Social_Facebook_image,0,0,0,,,
2026-05-25,com.univision.prendetv,appgradear424,56917,166,166,,,
2026-05-25,id1531467766,miqdigitaluk,0,0,0,,,
2026-05-25,com.univision.prendetv,Digital_Promo,0,0,0,,,
2026-05-25,com.univision.prendetv,oppopaipreinstall_int,469,0,0,,,
2026-05-25,com.univision.prendetv,Product_vix,0,0,0,,,
2026-05-25,com.univision.prendetv,QR_code_Arelys,0,0,0,,,
2026-05-25,id1531467766,Social_instagram,12,0,0,,,
2026-05-25,com.univision.prendetv,Social_Facebook_longform,62,0,0,,,
2026-05-25,id1531467766,Facebook_Paid,1,0,0,,,
2026-05-25,com.univision.prendetv,lychee,264869,651,651,,,
2026-05-25,com.univision.prendetv,crm_vix_avod_eml,0,0,0,,,
2026-05-25,com.univision.prendetv,QR_code,72,0,0,,,
2026-05-25,id1531467766,MiQ_int,1,0,0,,,
2026-05-25,com.univision.prendetv,,0,0,0,,,
2026-05-25,com.univision.prendetv,tiktokglobal_int,11579,145,145,,,
2026-05-25,id1531467766,Digital_Web_Univision,0,0,0,,,
2026-05-25,com.univision.prendetv,Web_article,3,0,0,,,
